usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6
User1,4,5,5,1,1,4
User2,4,2,5,1,4,5
User3,4,4,4,3,1,4
User4,5,4,3,3,4,3
User5,4,2,3,1,3,2
User6,5,1,1,1,1,3
User7,2,3,5,1,5,1
User8,2,4,5,4,5,3
User9,1,3,2,1,4,3
User10,3,3,1,5,1,1
User11,4,2,5,1,5,3
User12,4,3,4,3,2,2
User13,5,1,2,2,2,2
User14,5,1,5,2,3,2
User15,4,4,5,3,2,3
User16,3,5,5,5,3,1
User17,1,5,4,4,2,4
User18,5,5,1,4,2,4
User19,2,5,4,1,1,1
User20,1,4,2,3,5,1
User21,3,3,4,5,2,2
User22,1,4,1,3,2,1
User23,3,1,1,1,5,5
User24,3,1,4,1,1,2
User25,5,5,2,4,1,4
User26,1,5,2,2,3,1
User27,5,3,3,2,5,4
User28,3,4,1,2,4,3
User29,5,1,3,3,3,1
User30,2,4,3,3,4,3
User31,4,1,5,1,3,3
User32,3,3,2,3,5,4
User33,4,3,3,5,3,2
User34,3,3,5,2,4,2
User35,3,4,5,1,1,2
User36,2,1,2,3,4,2
User37,3,4,3,4,5,2
User38,3,3,4,3,5,1
User39,2,5,5,5,3,1
User40,5,4,1,3,1,4
User41,1,1,5,2,2,1
User42,1,5,2,4,3,2
User43,3,4,3,4,5,3
User44,5,3,2,1,5,3
User45,1,2,3,4,5,1
User46,4,4,5,5,2,3
User47,2,1,1,4,4,1
User48,4,4,4,5,4,5
User49,4,3,4,2,3,3
User50,4,2,3,2,4,4
User51,2,3,4,1,3,3
User52,1,3,3,1,5,2
User53,1,5,4,2,2,3
User54,4,4,5,3,4,4
User55,4,3,5,2,5,2
User56,5,4,3,1,5,2
User57,1,2,2,3,2,5
User58,1,5,5,1,1,3
User59,5,1,4,5,4,1
User60,4,1,2,3,4,4
User61,1,1,3,1,5,4
User62,2,2,3,2,4,4
User63,4,2,4,2,2,3
User64,1,2,3,5,2,4
User65,5,4,1,4,5,4
User66,5,4,1,3,3,4
User67,4,5,1,1,4,2
User68,1,3,5,4,1,5
User69,3,3,1,1,3,3
User70,3,3,1,1,1,2
User71,1,5,5,2,3,1
User72,2,1,3,3,5,1
User73,3,4,4,2,4,5
User74,3,5,5,5,3,2
User75,4,2,1,1,4,3
User76,1,2,2,4,1,3
User77,4,1,1,1,2,3
User78,4,5,3,3,2,3
User79,2,5,1,4,5,2
User80,4,2,1,5,2,1
User81,5,1,5,1,2,4
User82,5,3,4,2,1,1
User83,5,2,2,2,2,1
User84,5,4,5,3,4,5
User85,2,5,2,2,1,3
User86,4,4,4,1,2,3
User87,1,2,5,4,4,1
User88,4,4,1,5,3,5
User89,4,3,5,1,1,4
User90,5,4,4,5,2,2
User91,2,3,2,4,1,5
User92,1,3,5,1,4,4
User93,2,1,1,5,2,2
User94,3,4,1,2,4,3
User95,3,2,3,1,1,5
User96,2,4,5,4,3,2
User97,1,2,2,1,1,2
User98,4,5,1,3,1,2
User99,5,2,2,4,4,4
User100,2,5,4,3,3,2
User101,2,3,4,1,3,5
User102,4,3,3,4,5,4
User103,1,3,2,5,5,3
User104,5,2,5,4,4,1
User105,3,5,1,3,2,1
User106,5,4,1,1,4,3
User107,5,5,1,3,4,5
User108,4,3,3,5,5,3
User109,2,4,1,3,2,2
User110,1,5,3,1,3,3
User111,5,1,3,3,5,3
User112,4,5,4,1,4,1
User113,1,2,1,3,1,5
User114,1,3,4,2,1,2
User115,5,5,1,5,4,3
User116,1,1,4,2,5,4
User117,3,2,5,3,4,2
User118,4,4,5,2,5,2
User119,5,4,5,4,1,1
User120,5,5,2,5,5,3
User121,2,2,5,4,2,1
User122,3,4,2,3,2,5
User123,4,5,3,3,4,3
User124,1,4,5,2,2,1
User125,3,1,2,3,1,1
User126,4,4,5,5,4,5
User127,4,2,3,4,2,1
User128,1,3,5,5,2,3
User129,5,3,2,2,2,1
